cbsa_year,CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
101002016,"Aberdeen, SD",10100,2016,119,113,6,0,0,0,0,76,42,20,0,0,0,0,103,16
101402016,"Aberdeen, WA",10140,2016,364,355,9,0,0,0,0,71,37,21,0,0,0,0,364,0
102602016,"Adjuntas, PR",10260,2016,97,90,7,0,0,0,0,72,47,21,0,0,0,0,97,0
103002016,"Adrian, MI",10300,2016,361,286,73,2,0,0,0,119,58,40,0,0,163,0,198,0
104202016,"Akron, OH",10420,2016,366,254,111,1,0,0,0,112,61,44,0,0,129,0,237,0
105002016,"Albany, GA",10500,2016,363,263,100,0,0,0,0,93,59,36,0,0,0,0,363,0
105402016,"Albany, OR",10540,2016,366,333,33,0,0,0,0,78,50,19,0,0,0,0,366,0
105802016,"Albany-Schenectady-Troy, NY",10580,2016,366,310,53,3,0,0,0,119,58,37,0,0,283,0,83,0
107402016,"Albuquerque, NM",10740,2016,366,185,178,3,0,0,0,143,74,50,0,3,239,0,69,55
107802016,"Alexandria, LA",10780,2016,102,96,6,0,0,0,0,62,48,34,0,0,0,0,102,0
109002016,"Allentown-Bethlehem-Easton, PA-NJ",10900,2016,366,174,181,10,0,1,0,217,75,51,0,6,128,1,231,0
110202016,"Altoona, PA",11020,2016,366,285,79,2,0,0,0,122,59,40,0,0,196,0,166,4
111002016,"Amarillo, TX",11100,2016,366,321,44,1,0,0,0,112,54,41,0,0,329,5,32,0
111402016,"Americus, GA",11140,2016,245,218,26,1,0,0,0,101,54,39,0,0,245,0,0,0
111802016,"Ames, IA",11180,2016,212,198,14,0,0,0,0,77,48,35,0,0,212,0,0,0
112602016,"Anchorage, AK",11260,2016,366,251,111,4,0,0,0,128,69,38,0,0,130,0,147,89
114602016,"Ann Arbor, MI",11460,2016,366,293,67,6,0,0,0,122,60,40,0,0,253,0,113,0
115402016,"Appleton, WI",11540,2016,349,300,47,2,0,0,0,108,55,33,0,0,177,0,172,0
116202016,"Ardmore, OK",11620,2016,298,249,46,3,0,0,0,129,61,41,0,0,255,0,43,0
