cbsa_code,county_fips,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_days_on_market_mm_day,median_days_on_market_yy,median_days_on_market_yy_day,median_days_on_market_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,year
10140,53027,745,774,9,-21,29,34,23,81,0,-6,0,-4,9,0,0,1,251594,0,0,1,0,2020
10180,48441,458,491,-19,-97,52,57,47,67,0,-4,0,-5,-5,0,0,1,227188,0,0,1,0,2020
10300,26091,609,391,-15,-66,59,39,78,78,0,-4,0,-2,6,0,0,2,177613,0,0,1,0,2020
10420,39143,254,144,-33,-38,77,63,92,64,0,-1,0,0,-8,0,0,2,181313,0,0,1,0,2020
10460,35035,808,939,-12,37,11,14,9,106,0,2,0,-17,34,0,0,1,196900,0,0,1,0,2020
10500,13095,632,881,31,58,18,26,10,87,0,-8,0,-20,15,0,0,1,109013,0,0,0,0,2020
10540,41043,508,422,3,85,56,81,32,52,0,-4,0,-11,-20,0,0,1,350263,0,0,1,0,2020
10580,36067,315,771,0,-16,28,23,34,92,0,-3,0,4,20,0,0,1,286431,0,0,1,0,2020
10620,37167,848,820,35,11,25,13,37,106,0,-7,0,-15,34,0,0,1,277050,0,0,1,0,2020
10700,1095,629,827,51,118,24,28,19,86,0,-9,0,-30,14,0,1,1,236800,0,0,1,0,2020
10740,35035,441,385,3,84,59,67,50,61,0,-4,0,-6,-11,0,0,1,282342,0,0,1,0,2020
10780,22079,472,837,1,41,23,24,22,90,0,-1,0,-9,18,0,0,1,187250,0,0,1,0,2020
10900,40060,442,353,-10,102,62,54,70,70,0,-3,0,-10,-2,0,0,1,261835,0,0,1,0,2020
11020,42013,468,549,-55,46,47,28,66,86,0,0,0,-14,14,0,0,1,132988,0,0,0,0,2020
11100,48378,504,349,-27,-3,62,66,57,61,0,-3,0,5,-11,0,0,1,238773,0,0,1,0,2020
11180,19169,621,528,78,-21,49,52,46,71,0,-8,0,-7,-1,0,0,1,251800,0,0,1,0,2020
11220,36057,940,947,-16,1,10,12,8,113,0,7,0,-11,41,0,0,1,141600,0,0,0,0,2020
11260,2095,431,758,36,28,30,51,9,70,0,-9,0,-7,-2,0,0,1,315713,0,0,1,0,2020
11460,26161,183,379,-22,-205,59,55,64,69,0,-7,0,4,-3,0,0,1,382100,0,0,1,0,2020
11500,1015,525,850,-9,53,22,29,15,85,0,-4,0,-19,13,0,0,1,143975,0,0,0,0,2020
11540,55051,656,245,3,248,71,64,77,63,0,-3,0,-26,-9,0,0,2,256419,0,0,1,0,2020
11620,40019,969,687,-9,70,37,34,40,81,0,-4,0,-20,9,0,0,1,173238,0,0,1,0,2020
11700,37066,509,660,-5,-3,39,13,64,106,0,-2,0,-10,34,0,0,1,394292,0,0,1,0,2020
11740,39005,930,183,-58,283,75,67,84,61,0,2,0,-25,-11,0,0,2,145213,0,0,0,0,2020
11780,39007,601,704,12,38,35,21,49,96,0,-1,0,-7,24,0,0,1,140588,0,0,0,0,2020
11900,39009,844,889,16,-38,18,17,19,98,0,-6,0,3,26,0,0,1,180225,0,0,1,0,2020
11940,47107,917,391,-94,126,59,43,74,78,0,5,0,-7,6,0,0,1,176575,0,0,1,0,2020
11980,48213,685,634,18,31,41,36,46,79,0,-5,0,-14,7,0,0,1,248206,0,0,1,0,2020
12020,13059,512,435,-18,80,56,76,36,56,0,-4,0,-16,-16,0,0,1,273425,0,0,1,0,2020
12060,13126,442,430,-22,65,56,77,35,55,0,-4,0,-4,-17,0,0,1,297399,0,0,1,0,2020
12100,34001,256,790,-7,-61,27,30,24,84,0,-4,0,-1,12,0,0,1,253375,0,0,1,0,2020
12180,36011,697,766,-27,-53,30,14,45,102,0,-2,0,-3,30,0,0,1,187350,0,0,1,0,2020
12220,1081,401,819,11,-94,24,38,10,78,0,-6,0,4,6,0,0,1,281228,0,0,1,0,2020
12260,23774,386,679,36,79,36,46,27,74,0,-6,0,-17,2,0,0,1,218463,0,0,1,0,2020
12300,23011,473,584,44,74,45,7,82,118,0,-3,0,-5,46,0,0,2,222488,0,0,1,0,2020
12420,48294,324,407,-22,-29,58,73,42,58,0,-5,0,-5,-14,0,0,1,353998,0,0,1,0,2020
12540,6029,92,58,-12,35,86,86,87,50,0,-3,0,-4,-22,0,0,2,269725,0,0,1,0,2020
12580,24088,313,389,18,-50,59,67,50,61,0,-5,0,1,-10,0,0,1,391305,0,0,1,0,2020
12620,23019,400,789,21,37,27,6,49,126,0,4,0,-9,54,0,0,1,164424,0,0,1,0,2020
12660,55111,780,780,23,49,28,8,48,114,0,-5,0,3,42,0,0,1,269325,0,0,1,0,2020
12700,25001,266,798,17,-30,27,22,32,92,0,-7,0,-9,20,0,0,1,597738,0,0,2,0,2020
12740,50023,815,963,-17,-15,8,4,13,136,0,5,0,-25,64,0,0,1,305663,0,0,1,0,2020
12780,40147,900,344,-59,65,62,73,51,57,0,-1,0,-3,-15,0,0,1,149775,0,0,0,0,2020
12860,36037,854,251,-12,-91,69,53,84,69,0,-1,0,4,-3,0,0,2,146325,0,0,0,0,2020
12940,22034,390,850,0,-115,21,30,13,84,0,-5,0,3,12,0,0,1,247855,0,0,1,0,2020
12980,26025,453,472,-87,-181,53,60,46,65,0,-2,0,4,-7,0,0,1,144718,0,0,0,0,2020
13020,26017,536,537,-50,62,48,37,59,79,0,2,0,-8,8,0,0,1,93363,0,0,0,0,2020
13140,48268,620,475,-19,-278,53,58,48,66,0,-3,0,11,-5,0,0,1,203008,0,0,1,0,2020
13180,55027,655,429,93,157,56,32,79,84,0,-8,0,-16,12,0,0,2,216425,0,0,1,0,2020
13220,54081,691,896,9,80,17,17,17,97,0,-1,0,-37,25,0,0,1,136400,0,0,0,0,2020
13260,18093,986,545,-53,68,48,40,56,78,0,-1,0,-15,6,0,0,1,166781,0,0,1,0,2020
13380,53073,294,788,48,-155,27,48,5,74,0,-9,0,14,2,0,0,1,447738,0,0,1,0,2020
13460,41017,357,784,47,103,27,39,16,79,0,-12,0,-26,7,0,0,1,482787,0,0,2,0,2020
13740,30111,384,234,9,157,70,54,86,68,0,-4,0,-6,-4,0,0,2,286100,0,0,1,0,2020
13780,36057,627,705,-4,-92,35,19,50,96,0,0,0,6,25,0,0,1,142088,0,0,0,0,2020
13820,1088,554,586,18,23,44,42,45,76,0,-7,0,-10,5,0,0,1,234203,0,0,1,0,2020
13900,38015,586,804,42,47,26,37,15,78,0,-8,0,-13,7,0,0,1,306475,0,0,1,0,2020
13980,51121,613,142,117,44,78,62,93,64,0,-13,0,-9,-8,0,0,2,316094,0,0,1,0,2020
14010,17113,373,731,-5,-166,33,23,43,89,0,-4,0,11,17,0,0,1,151075,0,0,0,0,2020
14020,18105,425,478,-11,73,52,58,47,66,0,-7,0,-7,-6,0,0,1,351550,0,0,1,0,2020
